Date/Time,Electricity:Facility [J](TimeStep)
 07/13  00:05:00,270631.8567
 07/13  00:10:00,264017.2255
 07/13  00:15:00,258878.7402
 07/13  00:20:00,254312.009
 07/13  00:25:00,250035.4984
 07/13  00:30:00,245950.3057
 07/13  00:35:00,242001.2246
 07/13  00:40:00,238158.2283
 07/13  00:45:00,234408.6851
 07/13  00:50:00,230766.8679
 07/13  00:55:00,227194.9856
 07/13  01:00:00,223694.7603
 07/13  01:05:00,209058.9112
 07/13  01:10:00,204795.0837
 07/13  01:15:00,200731.5483
 07/13  01:20:00,196778.9078
 07/13  01:25:00,192900.3336
 07/13  01:30:00,189091.6531
 07/13  01:35:00,185346.9864
 07/13  01:40:00,181661.0966
 07/13  01:45:00,178031.3307
 07/13  01:50:00,174457.6587
 07/13  01:55:00,170941.7683
 07/13  02:00:00,167487.4587
 07/13  02:05:00,161998.3426
 07/13  02:10:00,158548.158
 07/13  02:15:00,155000.5453
 07/13  02:20:00,151498.7854
 07/13  02:25:00,147950.5637
 07/13  02:30:00,144379.9193
 07/13  02:35:00,140780.008
 07/13  02:40:00,137156.1546
 07/13  02:45:00,133496.5023
 07/13  02:50:00,129843.8946
 07/13  02:55:00,126236.3397
 07/13  03:00:00,121990.1149
 07/13  03:05:00,114529.1841
 07/13  03:10:00,112113.5902
 07/13  03:15:00,109514.13
 07/13  03:20:00,106933.105
 07/13  03:25:00,103457.2015
 07/13  03:30:00,104312.4504
 07/13  03:35:00,105179.284
 07/13  03:40:00,106056.9937
 07/13  03:45:00,106947.4916
 07/13  03:50:00,107852.4852
 07/13  03:55:00,108772.3722
 07/13  04:00:00,109707.4045
 07/13  04:05:00,129496.1775
 07/13  04:10:00,131642.1452
 07/13  04:15:00,133817.6964
 07/13  04:20:00,136024.0718
 07/13  04:25:00,138371.8669
 07/13  04:30:00,140694.7945
 07/13  04:35:00,143042.0197
 07/13  04:40:00,145425.735
 07/13  04:45:00,147840.449
 07/13  04:50:00,150273.3663
 07/13  04:55:00,191700.2991
 07/13  05:00:00,194801.9391
 07/13  05:05:00,182172.3807
 07/13  05:10:00,200994.7155
 07/13  05:15:00,208254.9762
 07/13  05:20:00,221257.9097
 07/13  05:25:00,268625.1588
 07/13  05:30:00,276038.0765
 07/13  05:35:00,299751.9912
 07/13  05:40:00,322660.0862
 07/13  05:45:00,346084.6431
 07/13  05:50:00,370872.1903
 07/13  05:55:00,395720.7862
 07/13  06:00:00,422252.5769
 07/13  06:05:00,1219968.755
 07/13  06:10:00,1248026.346
 07/13  06:15:00,1275816.037
 07/13  06:20:00,1269086.975
 07/13  06:25:00,1285247.887
 07/13  06:30:00,1270935.735
 07/13  06:35:00,1281055.117
 07/13  06:40:00,1290982.954
 07/13  06:45:00,1310611.472
 07/13  06:50:00,1334508.095
 07/13  06:55:00,1361090.193
 07/13  07:00:00,1392105.087
 07/13  07:05:00,750311.9337
 07/13  07:10:00,760857.0351
 07/13  07:15:00,775019.3646
 07/13  07:20:00,803776.8717
 07/13  07:25:00,824379.8188
 07/13  07:30:00,837036.8589
 07/13  07:35:00,1067747.267
 07/13  07:40:00,1192940.753
 07/13  07:45:00,1213314.663
 07/13  07:50:00,1233942.254
 07/13  07:55:00,1254866.557
 07/13  08:00:00,993649.6637
 07/13  08:05:00,210267.106
 07/13  08:10:00,191652.3649
 07/13  08:15:00,193551.3555
 07/13  08:20:00,233262.1827
 07/13  08:25:00,310643.8757
 07/13  08:30:00,366322.9099
 07/13  08:35:00,397368.3305
 07/13  08:40:00,426432.6103
 07/13  08:45:00,453835.2191
 07/13  08:50:00,481416.2499
 07/13  08:55:00,522343.7457
 07/13  09:00:00,548886.4137
 07/13  09:05:00,579600.829
 07/13  09:10:00,719081.7864
 07/13  09:15:00,1003815.426
 07/13  09:20:00,1013419.301
 07/13  09:25:00,1024310.257
 07/13  09:30:00,1034825.009
 07/13  09:35:00,969706.8336
 07/13  09:40:00,655140.6381
 07/13  09:45:00,663539.042
 07/13  09:50:00,671025.1255
 07/13  09:55:00,677940.4503
 07/13  10:00:00,684390.143
 07/13  10:05:00,676813.6685
 07/13  10:10:00,681855.8505
 07/13  10:15:00,687881.0416
 07/13  10:20:00,694077.9946
 07/13  10:25:00,720978.0636
 07/13  10:30:00,736076.2149
 07/13  10:35:00,713252.771
 07/13  10:40:00,718748.7821
 07/13  10:45:00,725892.6627
 07/13  10:50:00,734200.0257
 07/13  10:55:00,745993.5007
 07/13  11:00:00,753759.6136
 07/13  11:05:00,786926.2374
 07/13  11:10:00,795457.5503
 07/13  11:15:00,803291.7591
 07/13  11:20:00,810170.0531
 07/13  11:25:00,816774.456
 07/13  11:30:00,822801.0304
 07/13  11:35:00,828586.3397
 07/13  11:40:00,834528.865
 07/13  11:45:00,840603.1831
 07/13  11:50:00,846761.849
 07/13  11:55:00,853103.455
 07/13  12:00:00,864147.4964
 07/13  12:05:00,867397.145
 07/13  12:10:00,896209.6184
 07/13  12:15:00,903226.8067
 07/13  12:20:00,908349.8786
 07/13  12:25:00,912800.9866
 07/13  12:30:00,918881.6273
 07/13  12:35:00,923656.577
 07/13  12:40:00,929150.5549
 07/13  12:45:00,935493.0662
 07/13  12:50:00,940606.3384
 07/13  12:55:00,945317.3511
 07/13  13:00:00,949814.4254
 07/13  13:05:00,928005.4013
 07/13  13:10:00,912158.9831
 07/13  13:15:00,920175.9786
 07/13  13:20:00,930757.786
 07/13  13:25:00,941376.3427
 07/13  13:30:00,952558.6534
 07/13  13:35:00,964267.9396
 07/13  13:40:00,976528.6075
 07/13  13:45:00,989783.7307
 07/13  13:50:00,1004202.655
 07/13  13:55:00,1019743.56
 07/13  14:00:00,1036548.411
 07/13  14:05:00,1043550.506
 07/13  14:10:00,1049787.376
 07/13  14:15:00,1057060.502
 07/13  14:20:00,1083857.632
 07/13  14:25:00,1081993.35
 07/13  14:30:00,1087899.256
 07/13  14:35:00,1096483.06
 07/13  14:40:00,1102518.707
 07/13  14:45:00,1109282.546
 07/13  14:50:00,1116138.117
 07/13  14:55:00,1122864.268
 07/13  15:00:00,1129286.08
 07/13  15:05:00,1163215.876
 07/13  15:10:00,1184715.659
 07/13  15:15:00,1190797.784
 07/13  15:20:00,1195557.013
 07/13  15:25:00,1198876.007
 07/13  15:30:00,1201195.611
 07/13  15:35:00,1204515.124
 07/13  15:40:00,1206665.461
 07/13  15:45:00,1208392.496
 07/13  15:50:00,1209886.417
 07/13  15:55:00,1211050.118
 07/13  16:00:00,1211830.009
 07/13  16:05:00,1402842.214
 07/13  16:10:00,1387838.121
 07/13  16:15:00,1378427.275
 07/13  16:20:00,1368418.326
 07/13  16:25:00,1358663.805
 07/13  16:30:00,1348489.045
 07/13  16:35:00,1338137.554
 07/13  16:40:00,1327593.526
 07/13  16:45:00,1316935.568
 07/13  16:50:00,1306039.995
 07/13  16:55:00,1294937.876
 07/13  17:00:00,1283648.279
 07/13  17:05:00,1565729.682
 07/13  17:10:00,1548765.154
 07/13  17:15:00,1527017.234
 07/13  17:20:00,1539383.629
 07/13  17:25:00,1526893.992
 07/13  17:30:00,1497165.782
 07/13  17:35:00,1476549.701
 07/13  17:40:00,1740961.137
 07/13  17:45:00,1859643.771
 07/13  17:50:00,1835749.034
 07/13  17:55:00,1811922.545
 07/13  18:00:00,1787851.474
 07/13  18:05:00,1808088.294
 07/13  18:10:00,1788162.498
 07/13  18:15:00,1713290.648
 07/13  18:20:00,1343944.45
 07/13  18:25:00,1328000.839
 07/13  18:30:00,1312230.248
 07/13  18:35:00,1297324.741
 07/13  18:40:00,1282768.475
 07/13  18:45:00,1268441.882
 07/13  18:50:00,1254253.484
 07/13  18:55:00,1241874.144
 07/13  19:00:00,1694670.361
 07/13  19:05:00,1940235.053
 07/13  19:10:00,2112329.449
 07/13  19:15:00,2133817.804
 07/13  19:20:00,1861710.722
 07/13  19:25:00,1898948.426
 07/13  19:30:00,1863043.065
 07/13  19:35:00,1620272.04
 07/13  19:40:00,1595291.433
 07/13  19:45:00,1570868.739
 07/13  19:50:00,1546735.905
 07/13  19:55:00,1522742.637
 07/13  20:00:00,1498861.061
 07/13  20:05:00,1602976.172
 07/13  20:10:00,1577158.443
 07/13  20:15:00,1550403.953
 07/13  20:20:00,1524405.329
 07/13  20:25:00,1498146.843
 07/13  20:30:00,1470146.35
 07/13  20:35:00,1442132.028
 07/13  20:40:00,1415502.769
 07/13  20:45:00,1388303.269
 07/13  20:50:00,1361105.864
 07/13  20:55:00,1333869.249
 07/13  21:00:00,1306852.15
 07/13  21:05:00,856169.1887
 07/13  21:10:00,408413.3698
 07/13  21:15:00,496065.3709
 07/13  21:20:00,1129420.872
 07/13  21:25:00,1218459.417
 07/13  21:30:00,1233610.682
